id,applies_to,element,x_900,y_415,width_900,height_415,x_norm,y_norm,width_norm,height_norm,x_2340,y_1080,width_2340,height_1080
1,EN+KO,DuplicateRoundBarTouching,8,30,70,28,0.0089,0.0723,0.0778,0.0675,21,78,182,73
2,EN+KO,TurnPortraitBottomTrim,106,52,151,13,0.1178,0.1253,0.1678,0.0313,276,135,393,34
3,EN+KO,MoveSuffixDelete,467,108,32,15,0.5189,0.2602,0.0356,0.0361,1214,281,83,39
4,EN+KO,MoveTitleSafe,425,89,52,23,0.4722,0.2145,0.0578,0.0554,1105,232,135,60
5,EN+KO,WarmUpTitleSafe,311,142,61,20,0.3456,0.3422,0.0678,0.0482,809,370,159,52
6,EN+KO,FlyingKickTitleSafe,526,143,58,20,0.5844,0.3446,0.0644,0.0482,1368,372,151,52
7,EN+KO,SnipeTitleSafe,312,248,62,20,0.3467,0.5976,0.0689,0.0482,811,645,161,52
8,EN+KO,HurricaneKickTitleSafe,524,247,62,20,0.5822,0.5952,0.0689,0.0482,1362,643,161,52
9,EN+KO,PiercingVolleyTitleSafe,419,297,62,20,0.4656,0.7157,0.0689,0.0482,1089,773,161,52
12,EN+KO,SummaryLowerBarDeleteOnly,696,166,193,38,0.7733,0.4000,0.2144,0.0916,1810,432,502,99
13,EN+KO,SkillButtonTextSafe,753,289,135,39,0.8367,0.6964,0.1500,0.0940,1958,752,351,101
